Postcode,District,Area
11500,Ayer Itam,Ayer Hitam
11500,Bukit Saujana,Ayer Hitam
11500,Cangkat Lembah Ria,Ayer Hitam
11500,Desa Bendera,Ayer Hitam
11500,Farlim Square,Ayer Hitam
11000,Ayer Puteh,Balik Pulau
11000,Kampung Genting,Balik Pulau
11000,Kebun Besar,Balik Pulau
11000,Padang Kemunting,Balik Pulau
11000,Taman Sri Indah,Balik Pulau
11000,Pantai Acheh,Balik Pulau
11000,Kampung Perlis,Balik Pulau
11000,Ayer Puteh,Balik Pulau
11900,Halaman Teratai,Batu Maung
11900,Kampung Binjai,Batu Maung
11900,Sungai Nipah,Batu Maung
11910,Solok Gertak Sanggul,Bayan Lepas
11920,Teluk Kumbar,Bayan Lepas
11950,Bayan Baru,Bayan Lepas
14000,Alma,Bukit Mertajam
14000,Hala Gasing,Bukit Mertajam
14000,Bandar Perda,Bukit Mertajam
14000,Bukit Tengah,Bukit Mertajam
14000,Cherok Tokun,Bukit Mertajam
12000,Halaman Selat,Butterworth
12000,Kampung Jawa,Butterworth
12100,Jalan Chain Ferry,Butterworth
12200,Bagan Dalam,Butterworth
12200,Kampung Bengali,Butterworth
12300,Jalan Raja Uda,Butterworth
12300,Kampung Kastam,Butterworth
13000,Bagan Ajam,Butterworth
13000,Lintang Bulan,Butterworth
13000,Permatang Tengah,Butterworth
13020,Jalan Bidara,Butterworth
13020,Taman Selayang Permai,Butterworth
13050,Lebuh Nakhoda,Butterworth
13050,Teluk Air Tawar,Butterworth
13050,Titi Mukim,Butterworth
13400,Bagan Lalang,Butterworth
13400,Mak Mandin,Butterworth
13800,Gelang Bubu,Butterworth
13800,Sungai Dua,Butterworth
13800,Pekan Darat,Butterworth
11700,Batu Uban,Gelugor
11700,Batu Gambir,Gelugor
11700,Minden,Gelugor
11800,USM,Gelugor
10000,KOMTAR,Georgetown
10050,Jalan Argyll,Georgetown
10100,Lorong Ikan,Georgetown
10150,Sungai Pinang,Georgetown
10200,Padang Kota,Georgetown
10250,Gourney Beach,Georgetown
10300,Lebuh Acheh,Georgetown
10300,Lebuh Gereja,Georgetown
10350,Kebun Bunga,Georgetown
10400,Macalister,Georgetown
10460,Jalan Ayer Hitam,Georgetown
11600,Batu Hijau,Jelutong
11600,Tapak Sungai Pinang,Jelutong
11600,Lintang Penawar,Jelutong
13200,Bertam Perdana,Kepala Batas
13200,Kampung Paya,Kepala Batas
13200,Paya Keladi,Kepala Batas
13200,Pinang Tunggal,Kepala Batas
13200,Permatang Buluh,Kepala Batas
10460,Jalan Ayer Hitam,Georgetown
14400,Ara Kuda, Kubang Semang
14300,Ayer Lintas, Nibong Tebal
13100,Tuan Syed, Penaga
11300,Bukit Bendera, Penang Hill
13600,Perai Jaya, Perai
13500,Bukit Jelutung, Permatang Pauh
14100,Asas Jaya, Simpang Ampat
14200,Badak Mati, Sungai Jawi
11200,Casa, Tanjung Bungah
10470,Changkat, Tanjung Tokong
13300,Air Hitam, Tasek Gelugor
11050,Desa Marina, Teluk Bahang
